Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year,Country_Standardized,Region_Standardized
109,Senegal,Sub-Saharan Africa,4.6311,2.60092,0.26009,62,0.55978,0.23093,0.17972,2018,Senegal,Western Africa
78,Serbia,Central and Eastern Europe,5.3982,5.91065,0.59107,68,0.39734,0.22387,0.09388,2018,Serbia,Southern Europe
113,Sierra Leone,Sub-Saharan Africa,4.5706,1.55335,0.15534,53,0.49026,0.39865,0.11603,2018,Sierra Leone,Western Africa
34,Singapore,Southeast Asia,6.3432,9.27376,0.92738,75,0.87145,0.43746,1.0,2018,Singapore,South-eastern Asia
39,Slovakia,Central and Eastern Europe,6.1734,7.33687,0.73369,70,0.48797,0.1968,0.03024,2018,Slovakia,Eastern Europe
51,Slovenia,Central and Eastern Europe,5.9476,7.39238,0.73924,72,0.87363,0.26741,0.1115,2018,Slovenia,Southern Europe
98,Somalia,Sub-Saharan Africa,4.9815,0.0,0.0,55,0.9298,0.39825,0.61731,2018,Somalia,Eastern Africa
105,South Africa,Sub-Saharan Africa,4.724,5.69972,0.56997,60,0.71291,0.17297,0.12199,2018,South Africa,Southern Africa
57,South Korea,East Asia,5.8749,7.67899,0.7679,74,0.33706,0.29205,0.11256,2018,South Korea,Eastern Asia
154,South Sudan,Sub-Saharan Africa,3.2542,2.04584,0.20458,57,0.15405,0.37473,0.23125,2018,South Sudan,Eastern Africa
36,Spain,Western Europe,6.3099,7.58504,0.7585,74,0.61954,0.23689,0.16155,2018,Spain,Southern Europe
116,Sri Lanka,South Asia,4.4706,5.56592,0.55659,68,0.80765,0.51444,0.10982,2018,Sri Lanka,Southern Asia
137,Sudan,Middle East and North Africa,4.1387,3.66889,0.36689,60,0.02241,0.22408,0.1789,2018,Sudan,Northern Africa
9,Sweden,Western Europe,7.3145,8.2195,0.82195,73,0.91018,0.47638,0.83859,2018,Sweden,Northern Europe
5,Switzerland,Western Europe,7.4873,8.60934,0.86093,73,0.9107,0.42761,0.78053,2018,Switzerland,Western Europe
150,Syria,Middle East and North Africa,3.4619,4.17681,0.41768,65,0.12185,0.62906,0.31581,2018,Syria,Western Asia
26,Taiwan,East Asia,6.4406,8.27779,0.82778,72,0.57636,0.25205,0.17038,2018,Taiwan,Eastern Asia
