Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year,Country_Standardized,Region_Standardized
141,Zambia,Sub-Saharan Africa,3.7594,3.49347,0.579,55,0.7087,0.43983,0.83738,2020,Zambia,Eastern Africa
142,Haiti,Latin America and Caribbean,3.7208,1.85292,0.41786,56,0.2442,0.81414,0.69627,2020,Haiti,Caribbean
143,Lesotho,Sub-Saharan Africa,3.6528,2.96054,0.70365,48,0.59049,0.18011,0.90531,2020,Lesotho,Southern Africa
144,India,South Asia,3.5733,4.75426,0.41627,60,0.83826,0.41605,0.80196,2020,India,Southern Asia
145,Malawi,Sub-Saharan Africa,3.538,1.14881,0.34271,58,0.70303,0.37413,0.75311,2020,Malawi,Eastern Africa
146,Yemen,Middle East and North Africa,3.5274,2.55553,0.76086,57,0.35155,0.16618,0.83616,2020,Yemen,Western Asia
147,Botswana,Sub-Saharan Africa,3.4789,6.4916,0.70155,59,0.73433,0.05863,0.80909,2020,Botswana,Southern Africa
148,Tanzania,Sub-Saharan Africa,3.4762,2.97501,0.5639,57,0.7347,0.47654,0.6176,2020,Tanzania,Eastern Africa
149,Central African Republic,Sub-Saharan Africa,3.4759,0.26728,0.0,45,0.42237,0.44491,0.94699,2020,Central African Republic,Middle Africa
150,Rwanda,Sub-Saharan Africa,3.3123,2.23367,0.33787,61,0.87136,0.41365,0.08932,2020,Rwanda,Eastern Africa
151,Zimbabwe,Sub-Saharan Africa,3.2992,2.76938,0.67709,56,0.54438,0.26561,0.84821,2020,Zimbabwe,Eastern Africa
152,South Sudan,Sub-Saharan Africa,2.8166,1.88122,0.35751,51,0.09464,0.36843,0.79151,2020,South Sudan,Eastern Africa
153,Afghanistan,South Asia,2.5669,1.95686,0.23032,53,0.0,0.23733,0.9977,2020,Afghanistan,Southern Asia
149,Afghanistan,South Asia,2.5229,2.11402,0.0,52,0.0,0.22474,0.9825,2021,Afghanistan,Southern Asia
93,Albania,Central and Eastern Europe,5.1174,5.7574,0.45126,69,0.68576,0.31123,0.95529,2021,Albania,Southern Europe
109,Algeria,Sub-Saharan Africa,4.8871,5.40196,0.65216,66,0.1665,0.26656,0.78135,2021,Algeria,Northern Africa
57,Argentina,Latin America and Caribbean,5.9293,6.63769,0.83585,69,0.75926,0.1283,0.87708,2021,Argentina,South America
86,Armenia,Commonwealth of Independent States,5.2826,5.69131,0.64658,67,0.7539,0.14524,0.63853,2021,Armenia,Western Asia
11,Australia,North America and ANZ,7.1835,8.3019,0.91777,74,0.90401,0.53836,0.42027,2021,Australia,Australia and New Zealand
10,Austria,Western Europe,7.2678,8.52282,0.90629,73,0.89388,0.3974,0.46586,2021,Austria,Western Europe
90,Azerbaijan,Commonwealth of Independent States,5.1708,5.85365,0.71746,66,0.73492,0.07907,0.49513,2021,Azerbaijan,Western Asia
22,Bahrain,Middle East and North Africa,6.6469,8.04848,0.76689,69,0.92328,0.4547,0.74649,2021,Bahrain,Western Asia
101,Bangladesh,South Asia,5.0246,3.62965,0.44354,65,0.84173,0.29746,0.69948,2021,Bangladesh,Southern Asia
75,Belarus,Commonwealth of Independent States,5.5335,6.42137,0.85914,66,0.45531,0.12996,0.63534,2021,Belarus,Eastern Europe
20,Belgium,Western Europe,6.834,8.35672,0.85124,72,0.6825,0.16245,0.65738,2021,Belgium,Western Europe
99,Benin,Sub-Saharan Africa,5.0452,2.89676,0.04981,55,0.63859,0.30655,0.67503,2021,Benin,Western Africa
69,Bolivia,Latin America and Caribbean,5.7159,4.80988,0.66687,64,0.83771,0.25411,0.88297,2021,Bolivia,South America
64,Bosnia and Herzegovina,Central and Eastern Europe,5.8131,5.89613,0.7837,68,0.55168,0.48291,0.99052,2021,Bosnia and Herzegovina,Southern Europe
146,Botswana,Sub-Saharan Africa,3.4665,6.27831,0.61801,59,0.75231,0.05061,0.8382,2021,Botswana,Southern Africa
35,Brazil,Latin America and Caribbean,6.3301,5.87077,0.80524,67,0.71835,0.26166,0.78662,2021,Brazil,South America
88,Bulgaria,Central and Eastern Europe,5.2655,6.74535,0.89975,67,0.69022,0.231,0.99157,2021,Bulgaria,Eastern Europe
113,Burkina Faso,Sub-Saharan Africa,4.8338,2.08086,0.40293,54,0.53165,0.33691,0.77674,2021,Burkina Faso,Western Africa
140,Burundi,Sub-Saharan Africa,3.7753,0.0,0.05329,53,0.41572,0.31852,0.6123,2021,Burundi,Eastern Africa
114,Cambodia,Southeast Asia,4.8304,3.44236,0.58036,62,0.98037,0.38822,0.88816,2021,Cambodia,South-eastern Asia
91,Cameroon,Sub-Saharan Africa,5.1418,3.10058,0.47471,54,0.59393,0.3782,0.89303,2021,Cameroon,Middle Africa
14,Canada,North America and ANZ,7.1033,8.26303,0.89088,74,0.90575,0.45492,0.38807,2021,Canada,Northern America
128,Chad,Sub-Saharan Africa,4.3554,1.45411,0.30116,48,0.33461,0.39712,0.84554,2021,Chad,Middle Africa
43,Chile,Latin America and Caribbean,6.1719,6.8561,0.80658,70,0.61143,0.29391,0.87288,2021,Chile,South America
84,China,East Asia,5.3391,6.06207,0.66924,70,0.8881,0.17144,0.78545,2021,China,Eastern Asia
52,Colombia,Latin America and Caribbean,6.0124,5.83025,0.73847,68,0.77371,0.18483,0.88515,2021,Colombia,South America
131,Comoros,Sub-Saharan Africa,4.2886,2.7846,0.31338,57,0.2819,0.4456,0.81488,2021,Comoros,Eastern Africa
83,Congo (Brazzaville),Sub-Saharan Africa,5.3417,2.95714,0.33417,58,0.53194,0.26589,0.77295,2021,Congo Republic,Middle Africa
16,Costa Rica,Latin America and Caribbean,7.0694,6.47464,0.82391,71,0.93933,0.19487,0.84769,2021,Costa Rica,Central America
60,Croatia,Central and Eastern Europe,5.8817,7.14768,0.88595,71,0.63212,0.20546,1.0,2021,Croatia,Southern Europe
39,Cyprus,Western Europe,6.2235,7.86375,0.65284,74,0.64801,0.32932,0.889,2021,Cyprus,Western Asia
18,Czech Republic,Central and Eastern Europe,6.9647,7.82406,0.92998,71,0.81013,0.09619,0.91653,2021,Czechia,Eastern Europe
2,Denmark,Western Europe,7.6195,8.57642,0.94517,73,0.95837,0.38358,0.11299,2021,Denmark,Northern Europe
73,Dominican Republic,Latin America and Caribbean,5.5451,6.31987,0.75007,66,0.81207,0.18665,0.73737,2021,Dominican Republic,Caribbean
66,Ecuador,Latin America and Caribbean,5.764,5.34315,0.68785,69,0.78255,0.19824,0.88705,2021,Ecuador,South America
132,Egypt,Middle East and North Africa,4.2827,5.45037,0.55191,62,0.62343,0.1278,0.83139,2021,Egypt,Northern Africa
49,El Salvador,Latin America and Caribbean,6.0605,4.82622,0.57554,66,0.85967,0.2144,0.70717,2021,El Salvador,Central America
40,Estonia,Western Europe,6.1888,7.67446,0.92027,69,0.89562,0.21931,0.51866,2021,Estonia,Northern Europe
133,Ethiopia,Sub-Saharan Africa,4.2747,2.11179,0.57905,59,0.62947,0.44613,0.79145,2021,Ethiopia,Eastern Africa
1,Finland,Western Europe,7.8421,8.26118,0.94362,72,0.96454,0.22947,0.12117,2021,Finland,Northern Europe
21,France,Western Europe,6.6899,8.11889,0.92199,74,0.748,0.1707,0.57009,2021,France,Western Europe
112,Gabon,Sub-Saharan Africa,4.8518,5.92207,0.60308,60,0.59282,0.10642,0.88363,2021,Gabon,Middle Africa
98,Gambia,Sub-Saharan Africa,5.051,2.09648,0.4363,55,0.53587,0.85851,0.77446,2021,Gambia,Western Africa
108,Georgia,Commonwealth of Independent States,4.8914,5.88527,0.40074,64,0.68128,0.05991,0.66835,2021,Georgia,Western Asia
13,Germany,Western Europe,7.1545,8.45544,0.84669,73,0.83861,0.36012,0.44109,2021,Germany,Western Europe
95,Ghana,Sub-Saharan Africa,5.0884,3.88112,0.50767,58,0.72191,0.49597,0.89369,2021,Ghana,Western Africa
68,Greece,Middle East and North Africa,5.7226,7.27059,0.69218,73,0.33994,0.0,0.86448,2021,Greece,Southern Europe
30,Guatemala,Latin America and Caribbean,6.4345,4.82532,0.67397,65,0.89069,0.30198,0.8087,2021,Guatemala,Central America
102,Guinea,Sub-Saharan Africa,4.9843,2.39946,0.33995,55,0.53616,0.46141,0.79789,2021,Guinea,Western Africa
143,Haiti,Latin America and Caribbean,3.6149,1.67985,0.1478,56,0.35964,0.85533,0.7454,2021,Haiti,Caribbean
59,Honduras,Latin America and Caribbean,5.9192,4.01677,0.67134,67,0.80778,0.4449,0.84769,2021,Honduras,Central America
77,Hong Kong S.A.R. of China,East Asia,5.4767,8.7104,0.71719,77,0.56946,0.42846,0.37404,2021,Hong Kong,Eastern Asia
53,Hungary,Central and Eastern Europe,5.9916,7.42912,0.92415,68,0.63424,0.1229,0.92633,2021,Hungary,Eastern Europe
4,Iceland,Western Europe,7.5539,8.46586,1.0,73,0.97449,0.54046,0.6892,2021,Iceland,Northern Europe
139,India,South Asia,3.8189,4.23021,0.26976,61,0.86913,0.45496,0.80681,2021,India,Southern Asia
82,Indonesia,Southeast Asia,5.3445,5.44669,0.67036,62,0.83471,1.0,0.91599,2021,Indonesia,South-eastern Asia
118,Iran,Middle East and North Africa,4.7212,5.88487,0.47556,66,0.38368,0.61061,0.7374,2021,Iran,Southern Asia
111,Iraq,Middle East and North Africa,4.8541,5.19779,0.54407,61,0.42152,0.28332,0.9252,2021,Iraq,Western Asia
15,Ireland,Western Europe,7.0853,9.39281,0.93137,72,0.84572,0.44033,0.32797,2021,Ireland,Northern Europe
12,Israel,Middle East and North Africa,7.1571,7.8612,0.916,74,0.7109,0.38427,0.78279,2021,Israel,Western Asia
28,Italy,Western Europe,6.4831,7.95726,0.80209,74,0.52885,0.24578,0.91415,2021,Italy,Southern Europe
85,Ivory Coast,Sub-Saharan Africa,5.306,3.82295,0.34881,50,0.61136,0.32742,0.83103,2021,Côte d'Ivoire,Western Africa
37,Jamaica,Latin America and Caribbean,6.3092,5.09031,0.79545,68,0.8631,0.18242,0.93593,2021,Jamaica,Caribbean
56,Japan,East Asia,5.9405,7.93438,0.80975,75,0.70362,0.03611,0.6484,2021,Japan,Eastern Asia
127,Jordan,Middle East and North Africa,4.3946,5.08214,0.58467,67,0.63484,0.14627,0.72628,2021,Jordan,Western Asia
45,Kazakhstan,Commonwealth of Independent States,6.1518,7.0231,0.94075,65,0.80011,0.2636,0.75943,2021,Kazakhstan,Central Asia
121,Kenya,Sub-Saharan Africa,4.6066,3.44317,0.43331,61,0.67438,0.69304,0.86716,2021,Kenya,Eastern Africa
33,Kosovo,Central and Eastern Europe,6.372,5.35379,0.68871,64,0.82807,0.65755,0.97451,2021,Kosovo,Southern Europe
47,Kuwait,Middle East and North Africa,6.1061,8.34399,0.73065,67,0.82487,0.22176,0.76311,2021,Kuwait,Western Asia
67,Kyrgyzstan,Commonwealth of Independent States,5.7436,3.79776,0.82789,64,0.9395,0.49109,0.96314,2021,Kyrgyzstan,Central Asia
100,Laos,East Asia,5.03,4.61369,0.51001,59,0.89789,0.49571,0.67209,2021,Laos,South-eastern Asia
51,Latvia,Western Europe,6.032,7.3424,0.89346,67,0.56563,0.15203,0.83724,2021,Latvia,Northern Europe
123,Lebanon,Middle East and North Africa,4.5838,5.96729,0.74031,67,0.24384,0.25875,0.95192,2021,Lebanon,Western Asia
145,Lesotho,Sub-Saharan Africa,3.5118,2.57512,0.6232,49,0.56631,0.18997,0.97205,2021,Lesotho,Southern Africa
120,Liberia,Sub-Saharan Africa,4.6252,1.30184,0.49489,56,0.60083,0.40784,0.89568,2021,Liberia,Western Africa
80,Libya,Middle East and North Africa,5.4103,5.96054,0.70026,62,0.66168,0.24287,0.6819,2021,Libya,Northern Africa
38,Lithuania,Western Europe,6.2554,7.70947,0.90851,68,0.66529,0.10301,0.86737,2021,Lithuania,Northern Europe
8,Luxembourg,Western Europe,7.3244,10.0,0.85558,73,0.89301,0.30684,0.3551,2021,Luxembourg,Western Europe
135,Madagascar,Sub-Saharan Africa,4.2085,1.51864,0.42883,59,0.28964,0.3411,0.84115,2021,Madagascar,Eastern Africa
144,Malawi,Sub-Saharan Africa,3.6,0.64296,0.14298,58,0.67635,0.39358,0.75475,2021,Malawi,Eastern Africa
81,Malaysia,Southeast Asia,5.3843,7.1895,0.68016,67,0.87168,0.49831,0.88332,2021,Malaysia,South-eastern Asia
89,Maldives,East Asia,5.1976,6.36701,0.8659,71,0.80256,0.37622,0.86623,2021,Maldives,Southern Asia
117,Mali,Sub-Saharan Africa,4.7235,2.21162,0.50325,52,0.53624,0.30388,0.86888,2021,Mali,Western Africa
23,Malta,Western Europe,6.602,8.05856,0.90005,72,0.92705,0.50717,0.66601,2021,Malta,Southern Europe
134,Mauritania,Middle East and North Africa,4.2274,3.80442,0.63873,57,0.30503,0.21905,0.7569,2021,Mauritania,Western Africa
50,Mauritius,Sub-Saharan Africa,6.049,6.73044,0.84964,67,0.82459,0.28208,0.82469,2021,Mauritius,Eastern Africa
36,Mexico,Latin America and Caribbean,6.3168,6.43272,0.70778,69,0.81706,0.17035,0.83641,2021,Mexico,Central America
65,Moldova,Central and Eastern Europe,5.7664,5.62459,0.75754,66,0.74839,0.25247,0.97536,2021,Moldova,Eastern Europe
70,Mongolia,East Asia,5.6772,5.51731,0.9082,63,0.55385,0.48652,0.90335,2021,Mongolia,Eastern Asia
72,Montenegro,Central and Eastern Europe,5.5805,6.59448,0.76034,69,0.55432,0.30606,0.85181,2021,Montenegro,Southern Europe
106,Morocco,Middle East and North Africa,4.918,4.52474,0.18719,66,0.66589,0.06321,0.83919,2021,Morocco,Northern Africa
115,Mozambique,Sub-Saharan Africa,4.7945,1.04394,0.54046,55,0.84989,0.42057,0.70266,2021,Mozambique,Eastern Africa
126,Myanmar,Southeast Asia,4.4258,3.80272,0.60797,59,0.83938,0.96061,0.67365,2021,Myanmar,South-eastern Asia
124,Namibia,Sub-Saharan Africa,4.5741,5.03915,0.6832,57,0.57369,0.16775,0.89195,2021,Namibia,Southern Africa
87,Nepal,South Asia,5.2689,2.96276,0.59919,64,0.68106,0.53051,0.75292,2021,Nepal,Southern Asia
5,Netherlands,Western Europe,7.464,8.5737,0.92056,72,0.9031,0.5587,0.29856,2021,Netherlands,Western Europe
9,New Zealand,North America and ANZ,7.2766,7.9968,0.93314,73,0.92938,0.50911,0.18624,2021,New Zealand,Australia and New Zealand
55,Nicaragua,Latin America and Caribbean,5.9721,3.96098,0.77138,68,0.77172,0.37092,0.67838,2021,Nicaragua,Central America
96,Niger,Sub-Saharan Africa,5.0741,0.92251,0.34312,54,0.72126,0.36953,0.71215,2021,Niger,Western Africa
116,Nigeria,Sub-Saharan Africa,4.7593,3.78638,0.53327,50,0.60448,0.39237,0.92894,2021,Nigeria,Western Africa
94,North Macedonia,Central and Eastern Europe,5.1012,6.10203,0.65815,65,0.62789,0.3925,0.96015,2021,North Macedonia,Southern Europe
6,Norway,Western Europe,7.3925,8.81579,0.94524,73,0.98208,0.4599,0.21935,2021,Norway,Northern Europe
105,Pakistan,South Asia,4.934,3.63774,0.36125,59,0.58436,0.46489,0.82229,2021,Pakistan,Southern Asia
125,Palestinian Territories,Middle East and North Africa,4.5167,3.69013,0.69828,62,0.46105,0.15142,0.86234,2021,Palestine,Western Asia
41,Panama,Latin America and Caribbean,6.1796,7.413,0.83269,70,0.83302,0.14688,0.90243,2021,Panama,Central America
71,Paraguay,Latin America and Caribbean,5.6526,5.61302,0.82782,66,0.84076,0.38118,0.93275,2021,Paraguay,South America
63,Peru,Latin America and Caribbean,5.8396,5.63345,0.71048,68,0.74818,0.16156,0.94377,2021,Peru,South America
61,Philippines,Southeast Asia,5.8802,4.86958,0.70594,62,0.9097,0.23058,0.76956,2021,Philippines,South-eastern Asia
44,Poland,Central and Eastern Europe,6.1661,7.47651,0.83732,70,0.77988,0.14859,0.76207,2021,Poland,Eastern Europe
58,Portugal,Western Europe,5.929,7.55476,0.80111,73,0.86673,0.05274,0.93933,2021,Portugal,Southern Europe
46,Romania,Central and Eastern Europe,6.14,7.28045,0.70976,67,0.7874,0.08279,0.99875,2021,Romania,Eastern Europe
76,Russia,Commonwealth of Independent States,5.4772,7.0909,0.84612,65,0.57157,0.21297,0.88952,2021,Russia,Eastern Europe
147,Rwanda,Sub-Saharan Africa,3.4147,2.07692,0.17247,61,0.8753,0.42024,0.09895,2021,Rwanda,Eastern Africa
26,Saudi Arabia,Middle East and North Africa,6.494,8.19593,0.82245,67,0.84216,0.16719,0.70219,2021,Saudi Arabia,Western Asia
92,Senegal,Sub-Saharan Africa,5.1318,2.95906,0.47591,60,0.53276,0.29185,0.83836,2021,Senegal,Western Africa
48,Serbia,Central and Eastern Europe,6.0779,6.28846,0.78804,69,0.67271,0.34994,0.87865,2021,Serbia,Southern Europe
138,Sierra Leone,Sub-Saharan Africa,3.8494,1.59352,0.3217,52,0.57009,0.44853,0.9149,2021,Sierra Leone,Western Africa
32,Singapore,Southeast Asia,6.3765,9.6836,0.86924,77,0.92703,0.32509,0.0,2021,Singapore,South-eastern Asia
34,Slovakia,Central and Eastern Europe,6.3309,7.45049,0.90955,69,0.65371,0.19812,0.96723,2021,Slovakia,Eastern Europe
29,Slovenia,Central and Eastern Europe,6.4607,7.77061,0.93279,71,0.96345,0.22595,0.84504,2021,Slovenia,Southern Europe
103,South Africa,Sub-Saharan Africa,4.9564,5.52209,0.76313,57,0.62482,0.26655,0.90697,2021,South Africa,Southern Africa
62,South Korea,East Asia,5.8455,8.01277,0.64663,74,0.49333,0.24698,0.75243,2021,South Korea,Eastern Asia
27,Spain,Western Europe,6.4907,7.8534,0.9013,75,0.64519,0.2495,0.77365,2021,Spain,Southern Europe
129,Sri Lanka,South Asia,4.325,5.65743,0.69937,67,0.78129,0.44231,0.91105,2021,Sri Lanka,Southern Asia
130,Swaziland,Sub-Saharan Africa,4.3081,4.84883,0.59133,51,0.45051,0.12449,0.73048,2021,Eswatini,Southern Africa
7,Sweden,Western Europe,7.3627,8.44436,0.90558,73,0.95662,0.45121,0.18137,2021,Sweden,Northern Europe
3,Switzerland,Western Europe,7.5715,8.94398,0.92083,74,0.91274,0.37698,0.24463,2021,Switzerland,Western Europe
24,Taiwan Province of China,East Asia,6.5844,8.45234,0.8373,70,0.68427,0.26233,0.74572,2021,Taiwan,Eastern Asia
78,Tajikistan,Commonwealth of Independent States,5.4662,2.90437,0.76318,64,0.76524,0.28008,0.54898,2021,Tajikistan,Central Asia
142,Tanzania,Sub-Saharan Africa,3.6232,2.47494,0.46023,58,0.76717,0.56804,0.57737,2021,Tanzania,Eastern Africa
54,Thailand,Southeast Asia,5.9847,6.3245,0.81664,67,0.85368,0.69367,0.94871,2021,Thailand,South-eastern Asia
136,Togo,Sub-Saharan Africa,4.1068,1.45093,0.2043,55,0.40389,0.38529,0.80512,2021,Togo,Western Africa
122,Tunisia,Middle East and North Africa,4.5965,5.24916,0.43891,67,0.46594,0.10556,0.91908,2021,Tunisia,Northern Africa
104,Turkey,Middle East and North Africa,4.9476,7.19412,0.69028,67,0.32981,0.17921,0.80903,2021,Türkiye,Western Asia
97,Turkmenistan,Commonwealth of Independent States,5.0664,5.97458,0.99988,62,0.84118,0.67612,0.94017,2021,Turkmenistan,Central Asia
119,Uganda,Sub-Saharan Africa,4.6365,2.07955,0.61212,56,0.55589,0.49394,0.90151,2021,Uganda,Eastern Africa
110,Ukraine,Commonwealth of Independent States,4.8748,5.58894,0.81739,65,0.58244,0.334,0.98189,2021,Ukraine,Eastern Europe
25,United Arab Emirates,Middle East and North Africa,6.5605,8.87917,0.73373,67,0.93587,0.43648,0.59155,2021,United Arab Emirates,Western Asia
17,United Kingdom,Western Europe,7.0636,8.12537,0.90592,73,0.81058,0.62862,0.44029,2021,United Kingdom,Northern Europe
19,United States,North America and ANZ,6.9515,8.75594,0.87876,68,0.77367,0.46594,0.71859,2021,United States,Northern America
31,Uruguay,Latin America and Caribbean,6.4314,6.6456,0.88861,69,0.87359,0.23615,0.59205,2021,Uruguay,South America
42,Uzbekistan,Commonwealth of Independent States,6.1788,4.39232,0.8761,65,1.0,0.72177,0.50518,2021,Uzbekistan,Central Asia
107,Venezuela,Latin America and Caribbean,4.8922,4.86463,0.76552,67,0.39707,0.1439,0.86857,2021,Venezuela,South America
79,Vietnam,Southeast Asia,5.4108,4.66518,0.74449,68,0.9481,0.22965,0.8333,2021,Vietnam,South-eastern Asia
141,Yemen,Middle East and North Africa,3.6579,1.882,0.70904,57,0.3746,0.17047,0.83781,2021,Yemen,Western Asia
137,Zambia,Sub-Saharan Africa,4.0734,3.01348,0.47069,56,0.68009,0.42024,0.86481,2021,Zambia,Eastern Africa
148,Zimbabwe,Sub-Saharan Africa,3.1448,2.60868,0.55324,56,0.50129,0.29023,0.86197,2021,Zimbabwe,Eastern Africa
146,Afghanistan,South Asia,2.4038,3.43077,0.0,65,0.0,0.18993,0.00832,2022,Afghanistan,Southern Asia
90,Albania,Central and Eastern Europe,5.1988,6.51098,0.48923,78,0.69039,0.29574,0.04836,2022,Albania,Southern Europe
96,Algeria,Sub-Saharan Africa,5.1223,6.16812,0.73461,76,0.19727,0.22752,0.25535,2022,Algeria,Northern Africa
57,Argentina,Latin America and Caribbean,5.967,7.20403,0.83488,76,0.75047,0.17207,0.14472,2022,Argentina,South America
82,Armenia,Commonwealth of Independent States,5.3986,6.49102,0.62118,76,0.75348,0.11645,0.35769,2022,Armenia,Western Asia
12,Australia,North America and ANZ,7.1621,8.59913,0.91171,80,0.91414,0.55053,0.58117,2022,Australia,Australia and New Zealand
11,Austria,Western Europe,7.163,8.74141,0.88283,80,0.84156,0.41306,0.56086,2022,Austria,Western Europe
92,Azerbaijan,Commonwealth of Independent States,5.1734,6.599,0.82811,73,0.81198,0.05007,0.58051,2022,Azerbaijan,Western Asia
21,Bahrain,Middle East and North Africa,6.6469,8.39134,0.77954,75,0.93632,0.42584,0.26344,2022,Bahrain,Western Asia
94,Bangladesh,South Asia,5.1555,4.79885,0.46496,74,0.84087,0.267,0.31816,2022,Bangladesh,Southern Asia
65,Belarus,Commonwealth of Independent States,5.8215,7.06956,0.87623,75,0.46192,0.08452,0.48057,2022,Belarus,Eastern Europe
19,Belgium,Western Europe,6.805,8.63249,0.83805,79,0.66475,0.10548,0.34685,2022,Belgium,Western Europe
115,Benin,Sub-Saharan Africa,4.6232,4.21715,0.04829,66,0.64703,0.27082,0.39135,2022,Benin,Western Africa
71,Bolivia,Latin America and Caribbean,5.6003,5.68393,0.66661,73,0.84706,0.23856,0.10937,2022,Bolivia,South America
67,Bosnia and Herzegovina,Central and Eastern Europe,5.768,6.64551,0.80916,76,0.60556,0.52131,0.00938,2022,Bosnia and Herzegovina,Southern Europe
142,Botswana,Sub-Saharan Africa,3.4711,6.80091,0.61782,65,0.77206,0.02663,0.1738,2022,Botswana,Southern Africa
38,Brazil,Latin America and Caribbean,6.2928,6.61668,0.79111,75,0.73827,0.28005,0.22882,2022,Brazil,South America
85,Bulgaria,Central and Eastern Europe,5.3709,7.35471,0.88104,76,0.76056,0.26345,0.03616,2022,Bulgaria,Eastern Europe
113,Burkina Faso,Sub-Saharan Africa,4.6705,3.52631,0.428,66,0.51635,0.39847,0.21393,2022,Burkina Faso,Western Africa
114,Cambodia,Southeast Asia,4.6403,4.61278,0.55466,71,1.0,0.35465,0.11574,2022,Cambodia,South-eastern Asia
102,Cameroon,Sub-Saharan Africa,5.0476,4.38139,0.5089,66,0.53663,0.32437,0.12537,2022,Cameroon,Middle Africa
15,Canada,North America and ANZ,7.0251,8.53832,0.89988,80,0.89034,0.46367,0.62745,2022,Canada,Northern America
130,Chad,Sub-Saharan Africa,4.2508,2.99429,0.38358,63,0.24362,0.38808,0.13112,2022,Chad,Middle Africa
44,Chile,Latin America and Caribbean,6.1718,7.47425,0.81804,79,0.62162,0.2643,0.11689,2022,Chile,South America
72,China,East Asia,5.5853,6.82742,0.72609,77,0.88709,0.21219,0.24242,2022,China,Eastern Asia
66,Colombia,Latin America and Caribbean,5.7806,6.57073,0.70354,78,0.73647,0.18617,0.13074,2022,Colombia,South America
116,Comoros,Sub-Saharan Africa,4.6086,4.07074,0.36074,69,0.2504,0.41567,0.21357,2022,Comoros,Eastern Africa
99,Congo,Sub-Saharan Africa,5.0752,4.30155,0.30696,67,0.58221,0.27791,0.24819,2022,Congo Republic,Middle Africa
23,Costa Rica,Latin America and Caribbean,6.582,7.17062,0.79887,79,0.89372,0.19015,0.17451,2022,Costa Rica,Central America
47,Croatia,Central and Eastern Europe,6.1252,7.71867,0.89648,78,0.72241,0.23325,0.0,2022,Croatia,Southern Europe
41,Cyprus,Sub-Saharan Africa,6.2209,8.21521,0.68892,81,0.60557,0.26356,0.10528,2022,Cyprus,Western Asia
18,Czechia,Central and Eastern Europe,6.9198,8.21499,0.95467,78,0.89237,0.33864,0.08215,2022,Czechia,Eastern Europe
2,Denmark,Western Europe,7.6362,8.83769,0.94149,80,0.97146,0.40097,0.9067,2022,Denmark,Northern Europe
69,Dominican Republic,Latin America and Caribbean,5.7372,6.95908,0.75982,74,0.81898,0.17961,0.30446,2022,Dominican Republic,Caribbean
76,Ecuador,Latin America and Caribbean,5.5333,6.11796,0.66607,78,0.7631,0.17165,0.14163,2022,Ecuador,South America
129,Egypt,Middle East and North Africa,4.2877,6.28287,0.55484,73,0.63373,0.08688,0.43349,2022,Egypt,Northern Africa
49,El Salvador,Latin America and Caribbean,6.12,5.72506,0.58176,75,0.89984,0.18951,0.36099,2022,El Salvador,Central America
36,Estonia,Western Europe,6.3408,8.11754,0.93364,78,0.93145,0.26272,0.56726,2022,Estonia,Northern Europe
125,Eswatini,Sub-Saharan Africa,4.3961,5.76459,0.59569,62,0.35032,0.08044,0.26259,2022,Eswatini,Southern Africa
131,Ethiopia,Sub-Saharan Africa,4.2415,3.56684,0.61291,70,0.63841,0.43725,0.23146,2022,Ethiopia,Eastern Africa
1,Finland,Western Europe,7.821,8.56175,0.95317,80,0.99399,0.23237,0.90939,2022,Finland,Northern Europe
20,France,Western Europe,6.6867,8.43077,0.92324,81,0.76644,0.14938,0.45266,2022,France,Western Europe
106,Gabon,Sub-Saharan Africa,4.9583,6.60452,0.5589,68,0.46375,0.06897,0.16805,2022,Gabon,Middle Africa
93,Gambia,Sub-Saharan Africa,5.1636,3.55224,0.47015,67,0.49644,0.82926,0.17472,2022,Gambia,Western Africa
105,Georgia,Commonwealth of Independent States,4.9732,6.64092,0.46345,74,0.68636,0.0,0.35489,2022,Georgia,Western Asia
14,Germany,Western Europe,7.0341,8.70708,0.82395,80,0.79064,0.34739,0.60939,2022,Germany,Western Europe
111,Ghana,Sub-Saharan Africa,4.872,5.03084,0.45075,68,0.67498,0.49054,0.09471,2022,Ghana,Western Africa
58,Greece,Middle East and North Africa,5.9482,7.70827,0.74276,80,0.33669,0.03189,0.18461,2022,Greece,Southern Europe
39,Guatemala,Latin America and Caribbean,6.2622,5.76466,0.62965,72,0.89476,0.23985,0.19561,2022,Guatemala,Central America
109,Guinea,Sub-Saharan Africa,4.8905,3.83884,0.42911,64,0.45107,0.45685,0.19699,2022,Guinea,Western Africa
55,Honduras,Latin America and Caribbean,6.0221,5.02979,0.6705,73,0.78665,0.43168,0.13034,2022,Honduras,Central America
81,Hong Kong,East Asia,5.4248,8.85912,0.72298,85,0.54097,0.31356,0.65224,2022,Hong Kong,Eastern Asia
51,Hungary,Central and Eastern Europe,6.0859,7.91093,0.93384,76,0.65489,0.16603,0.10886,2022,Hungary,Eastern Europe
3,Iceland,Western Europe,7.5575,8.76134,1.0,80,0.97048,0.57619,0.32583,2022,Iceland,Northern Europe
136,India,South Asia,3.7771,5.28205,0.28451,70,0.87446,0.42292,0.21014,2022,India,Southern Asia
